Tweet,Stance
"Just saw abortion is a right billboard in Tennessee. That's a rare one, good job Tennessee",1
Fiscal for sure. Abortion and gun control alone drag you right.,2
Please explain your morality in regards to abortion and life in general.,2
"For Ukraine’s women refugees, Poland’s strict abortion and birth control laws hinder their next steps",1
"Free abortion! You body. Your choice! . . #mujerrebelde @ New York City, N.Y.",1
"Minnesota: If Roe v. Wade is struck down, we'll take your money, your women, and everything.",1
Cuz leftist love killing babies be for and after birth. Abortion=Child Sacrifice,0
If you put pickles in a burger you are a failed abortion,2
Keeping the clump of cells post abortion and making a stew,2
Not for abortion BUT I understand women have the right to choose,1
I do not support abortion I do however support your rights. Pro-choice,1
Abortion law was written by a sick person is ridiculous wrote this is nothing short of a criminal,0
Ohio lawmaker Jean Schmidt says rape can be 'opportunity' for victims via,2
No. Let them figure it out themselves. Did we ban abortion yet in Florida?,0
Yes. You're asking the one pro-choice person at a Catholic conference this weekend.,1
She must be talking from experience. But she confused abortion with cheating.,2
Conn. lawmakers pass bill to be ‘place of refuge’ for abortion patients,1
Abortion is pre-determining the outcome for others by using faux compassion.,0
Oh good grief. You Republicans really don't give a crap about human life do you!! So much for pro-life!,1
Connecticut lawmakers pass bill to protect abortion seekers and providers from out-of-state lawsuits,1
If abortion is banned in some states it's because most women in those states want it to be.,0
Won’t stop the GOP from passing a federal abortion ban in 2025.,2
I don't know why but i read this too quickly and saw abortion instead of abandon,2
She is aware that religious affiliations and dogma are not a constitutionally viable reason to make abortion illegal?,1
Calling a nigga your “abortion baby daddy” is just doing too much.,2
"Furthermore, my dream to not be pregnant came true in a safe, affordable, accessible fashion. #AbortionIsHealthcare",1
Judge continues block on parental consent law for minors seeking abortion,1
I don't get what these Republicans conservatives get by banning abortion,1
"Oh. Uh, this isn't Google. But if you need assistance, here are some resources that might help you.",2
anti abortion club having a whole reverse roe v wade event… GET ME OUT OF HERE!!!!!!,1
Court observers believe Chief Justice Roberts just signaled that abortion rights could be overturned,2
